Latitude,Longitude,Flood Depth (m)
48.45878425057623,11.847483680699938,0.58599854
48.45772563720642,11.849900001154795,0.57699585
48.4577253024152,11.849913510117725,0.5180054
48.45772463282799,11.849940528042842,0.59799194
48.457724298032,11.849954037005027,0.53900146
48.45772396323442,11.849967545966965,0.5509949
48.457722624028314,11.850021581812246,0.60598755
48.45772228922283,11.850035090772947,0.63098145
48.45772195441576,11.8500485997334,0.6669922
48.4577216196071,11.850062108693606,0.6529846
48.45772128479687,11.850075617653566,0.5539856
48.457720949985045,11.850089126613275,0.63497925
48.45772061517164,11.850102635572739,0.56399536
48.45772028035665,11.850116144531953,0.539978
48.45771994554007,11.85012965349092,0.55999756
48.45771961072191,11.85014316244964,0.5499878
48.45771927590217,11.850156671408113,0.5039978
48.457718941080834,11.850170180366337,0.5069885
48.45771860625793,11.850183689324316,0.50997925
48.457718271433436,11.850197198282045,0.52297974
48.45771793660736,11.850210707239526,0.65197754
48.45771933015212,11.84979142612187,0.7460022
48.45771899537367,11.849804935084402,0.6999817
48.45771866059362,11.849818444046685,0.6669922
48.457718325811996,11.849831953008723,0.8459778
48.4577179910288,11.849845461970512,0.81799316
48.457717656244,11.849858970932054,1.0789795
48.45771732145762,11.849872479893346,1.242981
48.457716986669666,11.849885988854394,1.0189819
48.45771665188012,11.849899497815192,1.1170044
48.457716317088995,11.849913006775745,0.9920044
48.457715982296286,11.849926515736048,1.1349792
48.457715647502,11.849940024696105,1.0509949
48.45771531270612,11.849953533655912,0.8580017
48.45771497790866,11.849967042615473,1.3719788
48.457714643109604,11.849980551574786,0.92700195
48.45771430830898,11.849994060533852,1.2399902
48.457713973506756,11.850007569492671,0.815979
48.457713638702955,11.850021078451242,1.2139893
48.45771330389757,11.850034587409562,1.2299805
48.457712969090615,11.850048096367638,1.1519775
48.45771263428206,11.850061605325466,0.7949829
48.45771229947193,11.850075114283047,0.940979
48.457711964660206,11.850088623240378,1.5839844
48.457711629846905,11.850102132197463,1.4440002
48.45771129503202,11.850115641154302,1.243988
48.45771096021555,11.850129150110892,0.89797974
48.457710625397496,11.850142659067233,0.76498413
48.45771029057786,11.850156168023329,0.8880005
48.457709955756634,11.850169676979174,0.69799805
48.45770962093384,11.850183185934775,0.80599976
48.45770928610944,11.850196694890125,0.7250061
48.45770895128347,11.85021020384523,0.73599243
48.45770861645591,11.850223712800085,0.68899536
48.457708281626765,11.850237221754693,0.96099854
48.45770794679605,11.850250730709055,0.8779907
48.45770761196374,11.85026423966317,0.8959961
48.45770727712984,11.850277748617035,1.0929871
48.457706942294365,11.850291257570653,0.8339844
48.45770660745731,11.850304766524024,0.7799988
48.45770627261866,11.850318275477147,0.8079834
48.45770593777843,11.850331784430022,0.6839905
48.45770560293662,11.850345293382649,0.6529846
48.45770526809322,11.850358802335029,0.66400146
48.45770493324824,11.850372311287163,0.5619812
48.45770459840167,11.850385820239048,0.5879822
48.45770426355353,11.850399329190685,0.5289917
48.45770359385248,11.850426347093217,0.5950012
48.45770292414509,11.850453364994758,0.5130005
48.45771402728227,11.849642324223506,0.5029907
48.45771369252133,11.84965583318638,0.63900757
48.45771335775883,11.849669342149012,0.7449951
48.45771302299473,11.849682851111394,0.65197754
48.45771268822905,11.849696360073528,0.7200012
48.45771235346179,11.849709869035415,0.73999023
48.457712018692945,11.849723377997055,1.0839844
48.457711683922504,11.849736886958446,1.0469971
48.45771134915049,11.84975039591959,0.73098755
48.4577110143769,11.849763904880488,0.81100464
48.45771067960172,11.849777413841135,0.9129944
48.457710344824946,11.849790922801539,1.3739929
48.457710010046604,11.849804431761694,1.7630005
48.45770967526667,11.849817940721598,1.5899963
48.457709340485145,11.849831449681258,1.6579895
48.45770900570204,11.849844958640668,1.8989868
48.45770867091735,11.849858467599832,1.875
48.457708336131084,11.849871976558747,1.8459778
48.457708001343235,11.849885485517417,1.7929993
48.4577076665538,11.849898994475838,1.7559814
48.45770733176278,11.84991250343401,1.8079834
48.457706996970174,11.849926012391936,1.8079834
48.45770666217598,11.849939521349613,1.927002
48.45770632738021,11.849953030307043,1.9839783
48.457705992582845,11.849966539264228,1.9309998
48.457705657783904,11.849980048221164,1.8240051
48.45770532298339,11.849993557177852,1.7449951
48.45770498818127,11.85000706613429,1.8429871
48.457704653377576,11.850020575090484,1.7859802
48.4577043185723,11.850034084046428,1.8329773
48.457703983765434,11.850047593002126,1.9660034
48.457703648957,11.850061101957575,1.9490051
48.45770331414696,11.850074610912777,1.9709778
48.45770297933536,11.850088119867733,1.9519958
48.45770264452216,11.850101628822438,1.927002
48.45770230970737,11.850115137776896,1.8939819
48.457701974891,11.85012864673111,1.8829956
48.45770164007307,11.850142155685072,1.875
48.45770130525353,11.850155664638791,1.8869934
48.45770097043241,11.850169173592258,1.927002
48.45770063560972,11.850182682545482,1.8469849
48.45770030078542,11.850196191498453,1.4329834
48.45769996595955,11.85020970045118,1.0429993
48.4576996311321,11.850223209403657,1.2259827
48.45769929630306,11.85023671835589,1.7769775
48.45769896147245,11.850250227307873,1.8280029
48.45769862664024,11.850263736259606,1.8739929
48.45769829180646,11.850277245211096,1.901001
48.45769795697108,11.850290754162335,1.8139954
48.457697622134134,11.850304263113328,1.6789856
48.45769728729558,11.850317772064072,1.7669983
48.45769695245546,11.85033128101457,1.8399963
48.457696617613756,11.85034478996482,1.5029907
48.45769628277046,11.850358298914824,1.4419861
48.45769594792559,11.850371807864576,1.2869873
48.45769561307913,11.850385316814084,1.2569885
48.457695278231085,11.850398825763342,1.1799927
48.45769494338145,11.850412334712354,1.2299805
48.457694608530254,11.85042584366112,1.3029785
48.457694273677454,11.850439352609634,1.117981
48.45769393882308,11.850452861557903,1.1789856
48.45769360396711,11.850466370505924,1.1719971
48.457693269109555,11.8504798794537,0.98898315
