Latitude,Longitude,Flood Depth (m)
48.589526940643545,12.273132850893996,20.06
48.586772172358835,12.268750268901975,19.42
48.589089418409074,12.272697658886825,19.35
48.589175382231254,12.272838851128643,19.33
48.588107871279014,12.269243402874707,19.33
48.58900345440184,12.272556467123287,19.3
48.586854294083146,12.269026828471596,19.26
48.5892651979218,12.272844657502255,19.24
48.589523088235964,12.27326823790071,19.23
48.586858141347925,12.26889144802026,19.22
48.589437124982965,12.273127043956267,19.15
48.58831058665431,12.268442696550702,19.12
48.58821307677467,12.268707666449034,19.12
48.58831443331762,12.268307312130505,19.11
48.58676832526506,12.268885649142762,19.1
48.58800651155148,12.269643753541631,19.09
48.58917923411364,12.272703464992686,19.08
48.588088630930926,12.269920321298605,19.08
48.588209229646615,12.26884305054439,19.02
48.58944097721952,12.27299165716009,19.01
48.58926134586839,12.27298004384875,19.0
48.58811171887181,12.2691080191042,18.99
48.58801035960902,12.269508370095982,18.98
